Date,Mountain,x,y
40992,Peekamoose Mountain,3,25
40993,Table Mountain,3,26
40994,0,-2,-2
40995,0,-2,-2
40996,0,-2,-2
40997,0,-2,-2
40998,0,-2,-2
40999,0,-2,-2
41000,0,-2,-2
41001,0,-2,-2
41002,0,-2,-2
41003,0,-2,-2
41004,0,-2,-2
41005,0,-2,-2
41006,0,-2,-2
41007,0,-2,-2
41008,0,-2,-2
41009,0,-2,-2
41010,0,-2,-2
41011,0,-2,-2
41012,0,-2,-2
41013,0,-2,-2
41014,0,-2,-2
41015,0,-2,-2
41016,0,-2,-2
41017,0,-2,-2
41018,0,-2,-2
41019,0,-2,-2
41020,0,-2,-2
41021,0,-2,-2
41022,0,-2,-2
41023,0,-2,-2
41024,0,-2,-2
41025,0,-2,-2
41026,0,-2,-2
41027,0,-2,-2
41028,0,-2,-2
41029,0,-2,-2
41030,0,-2,-2
41031,0,-2,-2
41032,0,-2,-2
41033,0,-2,-2
41034,0,-2,-2
41035,0,-2,-2
41036,0,-2,-2
41037,0,-2,-2
41038,0,-2,-2
41039,0,-2,-2
41040,0,-2,-2
41041,0,-2,-2
41042,0,-2,-2
41043,0,-2,-2
41044,0,-2,-2
41045,0,-2,-2
41046,0,-2,-2
41047,0,-2,-2
41048,Cornell Mountain,5,27
41049,Wittenberg Mountain,5,22
41050,0,-2,-2
41051,0,-2,-2
41052,0,-2,-2
41053,0,-2,-2
41054,0,-2,-2
41055,0,-2,-2
41056,0,-2,-2
41057,0,-2,-2
41058,0,-2,-2
41059,0,-2,-2
41060,0,-2,-2
41061,0,-2,-2
41062,0,-2,-2
41063,0,-2,-2
41064,0,-2,-2
41065,0,-2,-2
41066,0,-2,-2
41067,0,-2,-2
41068,0,-2,-2
41069,0,-2,-2
41070,0,-2,-2
41071,0,-2,-2
41072,0,-2,-2
41073,0,-2,-2
41074,0,-2,-2
41075,0,-2,-2
41076,0,-2,-2
41077,0,-2,-2
41078,0,-2,-2
41079,0,-2,-2
41080,0,-2,-2
41081,0,-2,-2
41082,0,-2,-2
41083,0,-2,-2
41084,0,-2,-2
41085,0,-2,-2
41086,0,-2,-2
41087,0,-2,-2
41088,0,-2,-2
41089,0,-2,-2
41090,0,-2,-2
41091,0,-2,-2
41092,0,-2,-2
41093,0,-2,-2
41094,0,-2,-2
41095,0,-2,-2
41096,Slide Mountain,7,35
41097,0,-2,-2
41098,0,-2,-2
41099,0,-2,-2
41100,0,-2,-2
41101,0,-2,-2
41102,0,-2,-2
41103,0,-2,-2
41104,0,-2,-2
41105,0,-2,-2
41106,0,-2,-2
41107,0,-2,-2
41108,0,-2,-2
41109,0,-2,-2
41110,0,-2,-2
41111,0,-2,-2
41112,0,-2,-2
41113,0,-2,-2
41114,0,-2,-2
41115,0,-2,-2
41116,0,-2,-2
41117,0,-2,-2
41118,0,-2,-2
41119,0,-2,-2
41120,0,-2,-2
41121,0,-2,-2
41122,0,-2,-2
41123,0,-2,-2
41124,0,-2,-2
41125,0,-2,-2
41126,0,-2,-2
41127,0,-2,-2
41128,0,-2,-2
41129,0,-2,-2
41130,0,-2,-2
41131,0,-2,-2
41132,0,-2,-2
41133,0,-2,-2
41134,0,-2,-2
41135,0,-2,-2
41136,0,-2,-2
41137,0,-2,-2
41138,0,-2,-2
41139,0,-2,-2
41140,0,-2,-2
41141,0,-2,-2
41142,0,-2,-2
41143,0,-2,-2
41144,0,-2,-2
41145,0,-2,-2
41146,0,-2,-2
41147,0,-2,-2
41148,0,-2,-2
41149,0,-2,-2
41150,0,-2,-2
41151,0,-2,-2
41152,0,-2,-2
41153,0,-2,-2
41154,Panther Mountain,9,18
41155,0,-2,-2
41156,0,-2,-2
41157,0,-2,-2
41158,0,-2,-2
41159,0,-2,-2
41160,0,-2,-2
41161,0,-2,-2
41162,0,-2,-2
41163,0,-2,-2
41164,0,-2,-2
41165,0,-2,-2
41166,0,-2,-2
41167,0,-2,-2
41168,Cornell Mountain,9,27
41169,Wittenberg Mountain,9,22
41170,0,-2,-2
41171,0,-2,-2
41172,0,-2,-2
41173,0,-2,-2
41174,0,-2,-2
41175,0,-2,-2
41176,0,-2,-2
41177,0,-2,-2
41178,0,-2,-2
41179,0,-2,-2
41180,0,-2,-2
41181,0,-2,-2
41182,0,-2,-2
41183,0,-2,-2
41184,0,-2,-2
41185,0,-2,-2
41186,0,-2,-2
41187,0,-2,-2
41188,0,-2,-2
41189,0,-2,-2
41190,0,-2,-2
41191,0,-2,-2
41192,0,-2,-2
41193,0,-2,-2
41194,0,-2,-2
41195,0,-2,-2
41196,0,-2,-2
41197,0,-2,-2
41198,0,-2,-2
41199,0,-2,-2
41200,0,-2,-2
41201,0,-2,-2
41202,0,-2,-2
41203,0,-2,-2
41204,0,-2,-2
41205,0,-2,-2
41206,0,-2,-2
41207,0,-2,-2
41208,0,-2,-2
41209,0,-2,-2
41210,0,-2,-2
41211,0,-2,-2
41212,0,-2,-2
41213,0,-2,-2
41214,0,-2,-2
41215,0,-2,-2
41216,0,-2,-2
41217,0,-2,-2
41218,0,-2,-2
41219,0,-2,-2
41220,0,-2,-2
41221,0,-2,-2
41222,0,-2,-2
41223,0,-2,-2
41224,0,-2,-2
41225,0,-2,-2
41226,0,-2,-2
41227,0,-2,-2
41228,0,-2,-2
41229,Peekamoose Mountain,11,25
41230,0,-2,-2
41231,0,-2,-2
41232,0,-2,-2
41233,0,-2,-2
41234,0,-2,-2
41235,0,-2,-2
41236,0,-2,-2
41237,0,-2,-2
41238,0,-2,-2
41239,0,-2,-2
41240,0,-2,-2
41241,0,-2,-2
41242,0,-2,-2
41243,0,-2,-2
41244,0,-2,-2
41245,0,-2,-2
41246,0,-2,-2
41247,0,-2,-2
41248,0,-2,-2
41249,0,-2,-2
41250,0,-2,-2
41251,0,-2,-2
41252,0,-2,-2
41253,0,-2,-2
41254,0,-2,-2
41255,0,-2,-2
41256,0,-2,-2
41257,0,-2,-2
41258,0,-2,-2
41259,0,-2,-2
41260,0,-2,-2
41261,0,-2,-2
41262,0,-2,-2
41263,0,-2,-2
41264,0,-2,-2
41265,0,-2,-2
41266,0,-2,-2
41267,0,-2,-2
41268,0,-2,-2
41269,Hunter Mountain,12,34
41270,Southwest Hunter,12,21
41271,0,-2,-2
41272,0,-2,-2
41273,Rusk Mountain,12,15
41274,0,-2,-2
41275,0,-2,-2
41276,0,-2,-2
41277,0,-2,-2
41278,0,-2,-2
41279,Bearpen Mountain,1,7
41280,Vly Mountain,1,3
41281,0,-2,-2
41282,0,-2,-2
41283,0,-2,-2
41284,0,-2,-2
41285,0,-2,-2
41286,Lone Mountain,1,19
41287,Rocky Mountain,1,1
41288,0,-2,-2
41289,0,-2,-2
41290,0,-2,-2
41291,0,-2,-2
41292,0,-2,-2
41293,0,-2,-2
41294,0,-2,-2
41295,0,-2,-2
41296,0,-2,-2
41297,0,-2,-2
41298,0,-2,-2
41299,0,-2,-2
41300,0,-2,-2
41301,0,-2,-2
41302,0,-2,-2
41303,0,-2,-2
41304,0,-2,-2
41305,0,-2,-2
41306,0,-2,-2
41307,0,-2,-2
41308,0,-2,-2
41309,0,-2,-2
41310,0,-2,-2
41311,0,-2,-2
41312,0,-2,-2
41313,0,-2,-2
41314,0,-2,-2
41315,0,-2,-2
41316,0,-2,-2
41317,0,-2,-2
41318,0,-2,-2
41319,0,-2,-2
41320,0,-2,-2
41321,0,-2,-2
41322,0,-2,-2
41323,0,-2,-2
41324,0,-2,-2
41325,0,-2,-2
41326,0,-2,-2
41327,0,-2,-2
41328,0,-2,-2
41329,0,-2,-2
41330,0,-2,-2
41331,0,-2,-2
41332,0,-2,-2
41333,0,-2,-2
41334,0,-2,-2
41335,0,-2,-2
41336,Slide Mountain,3,35
41337,0,-2,-2
41338,0,-2,-2
41339,0,-2,-2
41340,0,-2,-2
41341,0,-2,-2
41342,Balsam Mountain,3,8
41343,0,-2,-2
41344,0,-2,-2
41345,0,-2,-2
41346,0,-2,-2
41347,0,-2,-2
41348,Panther Mountain,3,18
41349,0,-2,-2
41350,Black Dome,3,33
41351,Blackhead,3,31
41352,Thomas Cole,3,32
41353,0,-2,-2
41354,0,-2,-2
41355,0,-2,-2
41356,0,-2,-2
41357,0,-2,-2
41358,0,-2,-2
41359,0,-2,-2
41360,0,-2,-2
41361,0,-2,-2
41362,0,-2,-2
41363,0,-2,-2
41364,0,-2,-2
41365,0,-2,-2
41366,0,-2,-2
41367,0,-2,-2
41368,0,-2,-2
41369,0,-2,-2
41370,0,-2,-2
41371,0,-2,-2
41372,0,-2,-2
41373,0,-2,-2
41374,0,-2,-2
41375,0,-2,-2
41376,0,-2,-2
41377,0,-2,-2
41378,0,-2,-2
41379,0,-2,-2
41380,0,-2,-2
41381,0,-2,-2
41382,0,-2,-2
41383,0,-2,-2
41384,0,-2,-2
41385,0,-2,-2
41386,0,-2,-2
41387,0,-2,-2
41388,0,-2,-2
41389,0,-2,-2
41390,0,-2,-2
41391,0,-2,-2
41392,Eagle Mountain,4,9
41393,Balsam Mountain,4,8
41394,0,-2,-2
41395,0,-2,-2
41396,0,-2,-2
41397,0,-2,-2
41398,Windham High Peak,5,2
41399,0,-2,-2
41400,0,-2,-2
41401,0,-2,-2
41402,0,-2,-2
41403,0,-2,-2
41404,0,-2,-2
41405,0,-2,-2
41406,0,-2,-2
41407,0,-2,-2
41408,0,-2,-2
41409,0,-2,-2
41410,0,-2,-2
41411,0,-2,-2
41412,0,-2,-2
41413,0,-2,-2
41414,0,-2,-2
41415,0,-2,-2
41416,0,-2,-2
41417,0,-2,-2
41418,0,-2,-2
41419,0,-2,-2
41420,Halcott Mountain,5,4
41421,0,-2,-2
41422,0,-2,-2
41423,0,-2,-2
41424,Balsam Mountain,5,8
41425,0,-2,-2
41426,0,-2,-2
41427,0,-2,-2
41428,0,-2,-2
41429,0,-2,-2
41430,0,-2,-2
41431,0,-2,-2
41432,0,-2,-2
41433,0,-2,-2
41434,0,-2,-2
41435,0,-2,-2
41436,0,-2,-2
41437,0,-2,-2
41438,0,-2,-2
41439,0,-2,-2
41440,0,-2,-2
41441,0,-2,-2
41442,0,-2,-2
41443,0,-2,-2
41444,Friday Mountain,6,16
41445,Balsam Cap,6,12
41446,0,-2,-2
41447,0,-2,-2
41448,0,-2,-2
41449,0,-2,-2
41450,0,-2,-2
41451,0,-2,-2
41452,0,-2,-2
41453,0,-2,-2
41454,0,-2,-2
41455,0,-2,-2
41456,Plateau Mountain,7,24
41457,Twin Mountain,7,13
41458,Indian Head,7,6
41459,Sugarloaf Mountain,7,23
41460,0,-2,-2
41461,0,-2,-2
41462,0,-2,-2
41463,0,-2,-2
41464,0,-2,-2
41465,0,-2,-2
41466,0,-2,-2
41467,0,-2,-2
41468,0,-2,-2
41469,0,-2,-2
41470,0,-2,-2
41471,0,-2,-2
41472,0,-2,-2
41473,0,-2,-2
41474,0,-2,-2
41475,0,-2,-2
41476,Big Indian Mountain,7,17
41477,Fir Mountain,7,11
41478,0,-2,-2
41479,0,-2,-2
41480,0,-2,-2
41481,0,-2,-2
41482,0,-2,-2
41483,0,-2,-2
41484,0,-2,-2
41485,0,-2,-2
41486,0,-2,-2
41487,0,-2,-2
41488,0,-2,-2
41489,0,-2,-2
41490,0,-2,-2
41491,0,-2,-2
41492,0,-2,-2
41493,0,-2,-2
41494,0,-2,-2
41495,0,-2,-2
41496,0,-2,-2
41497,Doubletop Mountain,8,28
41498,0,-2,-2
41499,0,-2,-2
41500,0,-2,-2
41501,0,-2,-2
41502,0,-2,-2
41503,0,-2,-2
41504,Kaaterskill High Peak,8,14
41505,0,-2,-2
41506,0,-2,-2
41507,0,-2,-2
41508,North Dome,8,10
41509,Sherrill Mountain,8,5
41510,Graham Mountain,8,29
41511,Balsam Lake Mountain,8,20
41512,0,-2,-2
41513,West Kill,8,30
41514,0,-2,-2
41515,0,-2,-2
41516,0,-2,-2
41517,0,-2,-2
41518,0,-2,-2
41519,0,-2,-2
41520,0,-2,-2
41521,0,-2,-2
41522,0,-2,-2
41523,0,-2,-2
41524,0,-2,-2
41525,0,-2,-2
41526,0,-2,-2
41527,0,-2,-2
41528,0,-2,-2
41529,0,-2,-2
41530,0,-2,-2
41531,0,-2,-2
41532,0,-2,-2
41533,0,-2,-2
41534,0,-2,-2
41535,0,-2,-2
41536,0,-2,-2
41537,0,-2,-2
41538,0,-2,-2
41539,0,-2,-2
41540,0,-2,-2
41541,0,-2,-2
41542,0,-2,-2
41543,0,-2,-2
41544,0,-2,-2
41545,0,-2,-2
41546,0,-2,-2
41547,0,-2,-2
41548,0,-2,-2
41549,0,-2,-2
41550,0,-2,-2
41551,0,-2,-2
41552,0,-2,-2
41553,0,-2,-2
41554,0,-2,-2
41555,0,-2,-2
41556,0,-2,-2
41557,0,-2,-2
41558,0,-2,-2
41559,0,-2,-2
41560,0,-2,-2
41561,0,-2,-2
41562,0,-2,-2
41563,0,-2,-2
41564,0,-2,-2
41565,0,-2,-2
41566,0,-2,-2
41567,0,-2,-2
41568,0,-2,-2
41569,0,-2,-2
41570,0,-2,-2
41571,0,-2,-2
41572,0,-2,-2
41573,Table Mountain,10,26
41574,Peekamoose Mountain,10,25
41575,0,-2,-2
41576,0,-2,-2
41577,0,-2,-2
41578,0,-2,-2
41579,0,-2,-2
41580,0,-2,-2
41581,0,-2,-2
41582,0,-2,-2
41583,0,-2,-2
41584,0,-2,-2
41585,0,-2,-2
41586,0,-2,-2
41587,0,-2,-2
41588,0,-2,-2
41589,0,-2,-2
41590,0,-2,-2
41591,0,-2,-2
41592,0,-2,-2
41593,Black Dome,11,33
41594,Blackhead,11,31
41595,Thomas Cole,11,32
41596,0,-2,-2
41597,0,-2,-2
41598,0,-2,-2
41599,0,-2,-2
41600,0,-2,-2
41601,0,-2,-2
41602,0,-2,-2
41603,0,-2,-2
41604,0,-2,-2
41605,0,-2,-2
41606,0,-2,-2
41607,0,-2,-2
41608,0,-2,-2
41609,0,-2,-2
41610,0,-2,-2
41611,0,-2,-2
41612,0,-2,-2
41613,0,-2,-2
41614,0,-2,-2
41615,0,-2,-2
41616,0,-2,-2
41617,0,-2,-2
41618,0,-2,-2
41619,0,-2,-2
41620,0,-2,-2
41621,0,-2,-2
41622,0,-2,-2
41623,0,-2,-2
41624,0,-2,-2
41625,0,-2,-2
41626,0,-2,-2
41627,0,-2,-2
41628,0,-2,-2
41629,0,-2,-2
41630,0,-2,-2
41631,0,-2,-2
41632,0,-2,-2
41633,0,-2,-2
41634,0,-2,-2
41635,0,-2,-2
41636,0,-2,-2
41637,0,-2,-2
41638,0,-2,-2
41639,0,-2,-2
41640,0,-2,-2
41641,0,-2,-2
41642,0,-2,-2
41643,0,-2,-2
41644,0,-2,-2
41645,0,-2,-2
41646,0,-2,-2
41647,0,-2,-2
41648,0,-2,-2
41649,0,-2,-2
41650,0,-2,-2
41651,0,-2,-2
41652,0,-2,-2
41653,0,-2,-2
41654,0,-2,-2
41655,0,-2,-2
41656,0,-2,-2
41657,0,-2,-2
41658,0,-2,-2
41659,0,-2,-2
41660,0,-2,-2
41661,0,-2,-2
41662,0,-2,-2
41663,0,-2,-2
41664,0,-2,-2
41665,0,-2,-2
41666,0,-2,-2
41667,0,-2,-2
41668,0,-2,-2
41669,0,-2,-2
41670,0,-2,-2
41671,0,-2,-2
41672,0,-2,-2
41673,0,-2,-2
41674,0,-2,-2
41675,0,-2,-2
41676,0,-2,-2
41677,0,-2,-2
41678,0,-2,-2
41679,0,-2,-2
41680,0,-2,-2
41681,0,-2,-2
41682,0,-2,-2
41683,0,-2,-2
41684,0,-2,-2
41685,0,-2,-2
41686,0,-2,-2
41687,0,-2,-2
41688,0,-2,-2
41689,0,-2,-2
41690,0,-2,-2
41691,0,-2,-2
41692,0,-2,-2
41693,0,-2,-2
41694,0,-2,-2
41695,0,-2,-2
41696,0,-2,-2
41697,0,-2,-2
41698,0,-2,-2
41699,0,-2,-2
41700,0,-2,-2
41701,0,-2,-2
41702,0,-2,-2
41703,0,-2,-2
41704,0,-2,-2
41705,0,-2,-2
41706,0,-2,-2
41707,0,-2,-2
41708,0,-2,-2
41709,0,-2,-2
41710,0,-2,-2
41711,0,-2,-2
41712,0,-2,-2
41713,Windham High Peak,3,2
41714,0,-2,-2
41715,0,-2,-2
41716,0,-2,-2
41717,0,-2,-2
41718,0,-2,-2
41719,0,-2,-2
41720,0,-2,-2
41721,0,-2,-2
41722,0,-2,-2
41723,0,-2,-2
41724,0,-2,-2
41725,0,-2,-2
41726,0,-2,-2
41727,0,-2,-2
41728,0,-2,-2
41729,0,-2,-2
41730,0,-2,-2
41731,0,-2,-2
41732,0,-2,-2
41733,0,-2,-2
41734,0,-2,-2
41735,0,-2,-2
41736,0,-2,-2
41737,0,-2,-2
41738,0,-2,-2
41739,0,-2,-2
41740,0,-2,-2
41741,0,-2,-2
41742,0,-2,-2
41743,0,-2,-2
41744,0,-2,-2
41745,0,-2,-2
41746,0,-2,-2
41747,0,-2,-2
41748,0,-2,-2
41749,0,-2,-2
41750,0,-2,-2
41751,0,-2,-2
41752,0,-2,-2
41753,0,-2,-2
41754,0,-2,-2
41755,0,-2,-2
41756,0,-2,-2
41757,0,-2,-2
41758,0,-2,-2
41759,0,-2,-2
41760,0,-2,-2
41761,0,-2,-2
41762,Table Mountain,5,26
41763,Peekamoose Mountain,5,25
41764,0,-2,-2
41765,0,-2,-2
41766,0,-2,-2
41767,0,-2,-2
41768,0,-2,-2
41769,0,-2,-2
41770,0,-2,-2
41771,0,-2,-2
41772,0,-2,-2
41773,0,-2,-2
41774,0,-2,-2
41775,0,-2,-2
41776,0,-2,-2
41777,0,-2,-2
41778,0,-2,-2
41779,0,-2,-2
41780,0,-2,-2
41781,0,-2,-2
41782,0,-2,-2
41783,0,-2,-2
41784,Hunter Mountain,5,34
41785,Southwest Hunter,5,21
41786,0,-2,-2
41787,0,-2,-2
41788,0,-2,-2
41789,0,-2,-2
41790,0,-2,-2
41791,Twin Mountain,6,13
41792,Indian Head,6,6
41793,0,-2,-2
41794,0,-2,-2
41795,0,-2,-2
41796,0,-2,-2
41797,0,-2,-2
41798,Black Dome,6,33
41799,Blackhead,6,31
41800,Thomas Cole,6,32
41801,0,-2,-2
41802,0,-2,-2
41803,0,-2,-2
41804,0,-2,-2
41805,0,-2,-2
41806,0,-2,-2
41807,0,-2,-2
41808,0,-2,-2
41809,0,-2,-2
41810,0,-2,-2
41811,0,-2,-2
41812,0,-2,-2
41813,0,-2,-2
